Name,Quantity,Date
Kleider,7,01-02-2017
K.Kleider,1,01-02-2017
Schuhe,1,01-02-2017
Sonstiges,1,01-02-2017
Zoll,1,01-02-2017
KeinVerkauf,0,01-02-2017
Tüte,3,01-02-2017
Kleider,11,01-03-2017
Schuhe,1,01-03-2017
Sonstiges,1,01-03-2017
Zoll,1,01-03-2017
Retour,1,01-03-2017
Tüte,2,01-03-2017
Kleider,8,01-04-2017
K.Kleider,1,01-04-2017
Schuhe,6,01-04-2017
Zoll,2,01-04-2017
Tüte,3,01-04-2017
Kleider,23,01-05-2017
K.Kleider,1,01-05-2017
Schuhe,4,01-05-2017
Tüte,6,01-05-2017
Kleider,9,01-07-2017
K.Kleider,1,01-07-2017
Schuhe,3,01-07-2017
Tasche,2,01-07-2017
Zoll,2,01-07-2017
Tüte,4,01-07-2017
Kleider,4,01-09-2017
Sonstiges,1,01-09-2017
KeinVerkauf,0,01-09-2017
Kleider,8,01-10-2017
K.Kleider,1,01-10-2017
Schuhe,7,01-10-2017
Sonstiges,1,01-10-2017
Tüte,2,01-10-2017
Kleider,11,01-11-2017
Schuhe,3,01-11-2017
Gürtel,2,01-11-2017
Zoll,1,01-11-2017
KeinVerkauf,0,01-11-2017
Tüte,4,01-11-2017
Kleider,6,01-12-2017
Schuhe,3,01-12-2017
Zoll,2,01-12-2017
Tüte,4,01-12-2017
Kleider,14,01-13-2017
K.Kleider,3,01-13-2017
Retour,1,01-13-2017
Tüte,2,01-13-2017
Kleider,6,01-14-2017
K.Kleider,3,01-14-2017
Schuhe,4,01-14-2017
Zoll,2,01-14-2017
Tüte,6,01-14-2017
Kleider,8,01-16-2017
K.Kleider,3,01-16-2017
Zoll,2,01-16-2017
KeinVerkauf,0,01-16-2017
Tüte,4,01-16-2017
Kleider,6,01-17-2017
Sonstiges,1,01-17-2017
Zoll,3,01-17-2017
Tüte,1,01-17-2017
Kleider,18,01-18-2017
K.Kleider,1,01-18-2017
Schuhe,2,01-18-2017
Zoll,1,01-18-2017
Tüte,7,01-18-2017
Kleider,15,01-19-2017
Schuhe,3,01-19-2017
Sonstiges,1,01-19-2017
Zoll,2,01-19-2017
Tüte,4,01-19-2017
Kleider,11,01-20-2017
K.Kleider,2,01-20-2017
Schuhe,1,01-20-2017
Sonstiges,1,01-20-2017
Zoll,1,01-20-2017
Tüte,5,01-20-2017
Kleider,16,01-21-2017
K.Kleider,13,01-21-2017
Schuhe,3,01-21-2017
Sonstiges,1,01-21-2017
KeinVerkauf,0,01-21-2017
Tüte,7,01-21-2017
Kleider,13,01-23-2017
Schuhe,3,01-23-2017
Sonstiges,1,01-23-2017
Tüte,3,01-23-2017
Kleider,8,01-24-2017
K.Kleider,1,01-24-2017
Schuhe,6,01-24-2017
Sonstiges,1,01-24-2017
KeinVerkauf,0,01-24-2017
Tüte,2,01-24-2017
Kleider,12,01-25-2017
K.Kleider,1,01-25-2017
Zoll,1,01-25-2017
KeinVerkauf,0,01-25-2017
Tüte,2,01-25-2017
Kleider,7,01-26-2017
Schuhe,2,01-26-2017
Tasche,1,01-26-2017
Tüte,3,01-26-2017
Kleider,2,01-27-2017
K.Kleider,1,01-27-2017
Tasche,2,01-27-2017
Sonstiges,1,01-27-2017
Tüte,4,01-27-2017
Kleider,15,01-28-2017
K.Kleider,1,01-28-2017
Schuhe,5,01-28-2017
Tasche,1,01-28-2017
Tüte,5,01-28-2017
Kleider,14,01-30-2017
KeinVerkauf,0,01-30-2017
Tüte,2,01-30-2017
Kleider,23,01-31-2017
K.Kleider,1,01-31-2017
Schuhe,5,01-31-2017
KeinVerkauf,0,01-31-2017
Tüte,6,01-31-2017
Kleider,3,02-01-2017
Schuhe,1,02-01-2017
Zoll,1,02-01-2017
Tüte,1,02-01-2017
Kleider,18,02-01-2017
K.Kleider,2,02-01-2017
Schuhe,1,02-01-2017
Sonstiges,1,02-01-2017
Zoll,2,02-01-2017
Tüte,5,02-01-2017
Kleider,11,02-02-2017
Schuhe,1,02-02-2017
Tasche,1,02-02-2017
KeinVerkauf,0,02-02-2017
Tüte,2,02-02-2017
Kleider,15,02-03-2017
Schuhe,1,02-03-2017
Zoll,2,02-03-2017
Tüte,1,02-03-2017
Kleider,22,02-04-2017
K.Kleider,2,02-04-2017
Schuhe,5,02-04-2017
Tasche,1,02-04-2017
Gutschein,1,02-04-2017
Zoll,2,02-04-2017
Retour,1,02-04-2017
Tüte,6,02-04-2017
Kleider,7,02-05-2017
K.Kleider,3,02-05-2017
Schuhe,3,02-05-2017
Schmuck,1,02-05-2017
Gürtel,3,02-05-2017
Tasche,7,02-05-2017
Gutschein,2,02-05-2017
Sonstiges,2,02-05-2017
Zoll,1,02-05-2017
Bonus,2,02-05-2017
KeinVerkauf,3,02-05-2017
